graph_id,src_id,dst_id,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2
0,1,4,0,1,0
0,4,1,0,1,0
0,4,5,0,1,0
0,5,4,0,1,0
0,11,12,0,1,0
0,12,11,0,1,0
0,3,7,0,1,0
0,7,3,0,1,0
0,7,8,0,1,0
0,8,7,0,1,0
0,1,6,1,0,0
0,6,1,1,0,0
0,3,9,1,0,0
0,9,3,1,0,0
0,10,15,1,0,0
0,15,10,1,0,0
0,10,17,0,0,1
0,17,10,0,0,1
0,10,16,1,0,0
0,16,10,1,0,0
0,3,11,0,1,0
0,11,3,0,1,0
0,0,2,0,1,0
0,2,0,0,1,0
0,0,1,0,1,0
0,1,0,0,1,0
0,15,20,1,0,0
0,20,15,1,0,0
0,19,21,0,1,0
0,21,19,0,1,0
0,13,14,0,1,0
0,14,13,0,1,0
0,18,23,0,0,1
0,23,18,0,0,1
0,25,23,0,1,0
0,23,25,0,1,0
0,14,20,1,0,0
0,20,14,1,0,0
0,25,17,0,1,0
0,17,25,0,1,0
0,14,16,1,0,0
0,16,14,1,0,0
0,16,22,1,0,0
0,22,16,1,0,0
0,24,26,0,0,1
0,26,24,0,0,1
0,18,22,1,0,0
0,22,18,1,0,0
0,18,21,1,0,0
0,21,18,1,0,0
0,21,24,0,1,0
0,24,21,0,1,0
