graph_id,node_id,true,feat_zoning_type_0,feat_zoning_type_1,feat_zoning_type_2,feat_zoning_type_3,feat_connectivity_0,feat_connectivity_1,feat_connectivity_2,train_mask,val_mask,test_mask,pred
0,0,0,1,0,0,0,0,1,0,0,0,1,0
0,1,7,0,0,1,0,0,1,0,0,0,1,7
0,2,0,0,0,0,0,0,1,0,0,0,1,5
0,3,7,0,0,1,0,0,1,0,0,0,1,5
0,4,7,0,0,1,0,0,1,0,0,0,1,5
0,5,0,1,0,0,0,0,1,0,0,0,1,0
0,6,0,1,0,0,0,0,1,0,0,0,1,0
0,7,0,0,0,0,0,0,1,0,0,0,1,5
0,8,7,0,0,1,0,0,1,0,0,0,1,5
0,9,0,0,0,0,0,0,1,0,0,0,1,5
0,10,0,0,0,0,0,0,1,0,0,0,1,5
0,11,1,0,1,0,0,0,1,0,0,0,1,3
0,12,0,0,0,0,0,0,1,0,0,0,1,5
0,13,0,1,0,0,0,0,1,0,0,0,1,0
0,14,4,0,1,0,0,1,0,0,0,0,1,4
0,15,5,0,0,1,0,1,0,0,0,0,1,6
0,16,7,0,0,1,0,0,1,0,0,0,1,5
0,17,0,0,0,0,0,0,1,0,0,0,1,5
0,18,1,0,1,0,0,0,1,0,0,0,1,3
0,19,0,0,0,0,0,0,1,0,0,0,1,5
0,20,0,0,0,0,0,0,1,0,0,0,1,5
0,21,4,0,1,0,0,1,0,0,0,0,1,4
0,22,5,0,0,1,0,1,0,0,0,0,1,6
0,23,5,0,0,1,0,1,0,0,0,0,1,5
0,24,4,0,1,0,0,1,0,0,0,0,1,2
0,25,7,0,0,1,0,0,1,0,0,0,1,7
0,26,0,1,0,0,0,0,1,0,0,0,1,0
0,27,5,0,0,1,0,1,0,0,0,0,1,5
